Modo privado,Comuna de origen,Comuna de destino,Distancia,Ingreso per cápita
0,SAN BERNARDO,CALERA DE TANGO,6.96,161.78
0,CALERA DE TANGO,CALERA DE TANGO,1.58,263.99
0,CALERA DE TANGO,CALERA DE TANGO,1.58,263.99
0,CALERA DE TANGO,CALERA DE TANGO,2.24,263.99
1,CALERA DE TANGO,SAN BERNARDO,11.75,106.88
1,SAN BERNARDO,CALERA DE TANGO,11.75,106.88
1,CALERA DE TANGO,VITACURA,32.96,135.09
1,VITACURA,CALERA DE TANGO,32.96,135.09
1,CALERA DE TANGO,MAIPU,13.67,206.01
1,MAIPU,CALERA DE TANGO,13.67,206.01
1,CALERA DE TANGO,,20.19,206.01
1,,CALERA DE TANGO,20.19,206.01
1,CALERA DE TANGO,CALERA DE TANGO,0.58,265.05
1,CALERA DE TANGO,CALERA DE TANGO,0.58,265.05
0,CALERA DE TANGO,PROVIDENCIA,24.79,265.05
0,PROVIDENCIA,CALERA DE TANGO,24.79,265.05
0,CALERA DE TANGO,PEÑAFLOR,8.76,92.35
0,PEÑAFLOR,CALERA DE TANGO,8.73,92.35
0,CALERA DE TANGO,SAN BERNARDO,7.03,92.35
0,SAN BERNARDO,CALERA DE TANGO,6.78,92.35
0,CALERA DE TANGO,SAN BERNARDO,7.03,92.35
0,SAN BERNARDO,CALERA DE TANGO,6.78,92.35
0,CALERA DE TANGO,SAN MIGUEL,17.87,140.65
0,SAN MIGUEL,CALERA DE TANGO,17.87,140.65
1,CALERA DE TANGO,CALERA DE TANGO,2.44,140.65
1,CALERA DE TANGO,CALERA DE TANGO,2.44,140.65
1,CALERA DE TANGO,PADRE HURTADO,4.57,140.65
1,PADRE HURTADO,CALERA DE TANGO,4.57,140.65
1,CALERA DE TANGO,CALERA DE TANGO,4.95,362.05
1,CALERA DE TANGO,CALERA DE TANGO,4.95,362.05
1,CALERA DE TANGO,LA CISTERNA,13.69,331.95
0,LA CISTERNA,PROVIDENCIA,14.44,331.95
1,CALERA DE TANGO,LA CISTERNA,13.69,331.95
0,LA CISTERNA,SANTIAGO,10.76,331.95
1,CALERA DE TANGO,SAN MIGUEL,16.62,140.11
1,SAN MIGUEL,CALERA DE TANGO,16.62,140.11
1,SAN BERNARDO,SANTIAGO,22.95,126.96
1,SANTIAGO,CALERA DE TANGO,23.55,126.96
1,CALERA DE TANGO,LA CISTERNA,14.08,76.41
1,LA CISTERNA,CALERA DE TANGO,14.08,76.41
0,CALERA DE TANGO,LAS CONDES,30.86,66.67
0,LAS CONDES,CALERA DE TANGO,30.86,66.67
0,CALERA DE TANGO,CALERA DE TANGO,2.78,90.50
1,CALERA DE TANGO,SANTIAGO,19.43,140.00
1,SANTIAGO,CALERA DE TANGO,19.43,140.00
1,TALAGANTE,CALERA DE TANGO,9.38,683.33
0,CALERA DE TANGO,CALERA DE TANGO,2.06,81.89
0,CALERA DE TANGO,CALERA DE TANGO,2.06,81.89
1,CALERA DE TANGO,SAN BERNARDO,12.93,69.72
1,SAN BERNARDO,CALERA DE TANGO,12.93,69.72
0,CALERA DE TANGO,CALERA DE TANGO,5.60,85.00
0,CALERA DE TANGO,CALERA DE TANGO,5.60,85.00
1,CALERA DE TANGO,MAIPU,10.53,182.23
1,CALERA DE TANGO,SAN BERNARDO,3.22,421.36
1,SAN BERNARDO,CALERA DE TANGO,3.22,421.36
1,CALERA DE TANGO,TALAGANTE,10.67,421.36
1,TALAGANTE,CALERA DE TANGO,10.67,421.36
0,CALERA DE TANGO,SAN BERNARDO,6.79,118.48
0,SAN BERNARDO,CALERA DE TANGO,6.79,118.48
0,CALERA DE TANGO,LA FLORIDA,16.75,275.00
0,LA FLORIDA,CALERA DE TANGO,16.75,275.00
1,LA CISTERNA,LA CISTERNA,0.38,148.19
1,CALERA DE TANGO,LA PINTANA,13.96,187.12
1,LA PINTANA,CALERA DE TANGO,13.96,187.12
1,CERRILLOS,ÑUÑOA,9.63,110.00
1,ÑUÑOA,CERRILLOS,9.63,110.00
0,CERRILLOS,SANTIAGO,8.03,102.32
0,SANTIAGO,CERRILLOS,8.03,102.32
1,CERRILLOS,CERRILLOS,1.33,240.73
1,CERRILLOS,CERRILLOS,1.33,240.73
1,CERRILLOS,LO BARNECHEA,24.07,300.00
1,LO BARNECHEA,CERRILLOS,24.07,300.00
1,CERRILLOS,CERRILLOS,0.98,300.00
1,CERRILLOS,CERRILLOS,2.58,165.00
1,CERRILLOS,CERRILLOS,2.58,165.00
1,CERRILLOS,SANTIAGO,9.59,262.50
1,SANTIAGO,CERRILLOS,9.59,262.50
0,CERRILLOS,VITACURA,18.97,262.50
1,VITACURA,CERRILLOS,18.97,262.50
0,CERRILLOS,VITACURA,20.00,262.50
1,VITACURA,CERRILLOS,20.00,262.50
0,CERRILLOS,QUILICURA,14.30,210.00
0,QUILICURA,CERRILLOS,14.30,210.00
0,CERRILLOS,RECOLETA,8.57,330.00
0,RECOLETA,CERRILLOS,8.57,330.00
0,CERRILLOS,SANTIAGO,8.12,330.00
